iter	Passed	Remaining
0	11	11841
1	19	9856
2	27	9137
3	35	8726
4	43	8621
5	52	8625
6	63	9064
7	74	9299
8	82	9099
9	95	9415
10	107	9706
11	112	9298
12	118	8964
13	122	8660
14	127	8386
15	132	8138
16	137	7935
17	142	7755
18	147	7598
19	152	7449
20	156	7305
21	161	7182
22	166	7059
23	170	6952
24	175	6854
25	180	6762
26	185	6683
27	190	6623
28	198	6652
29	206	6665
30	213	6682
31	221	6700
32	234	6868
33	247	7029
34	253	6985
35	259	6960
36	266	6924
37	270	6857
38	275	6793
39	280	6740
40	285	6681
41	290	6631
42	295	6576
43	300	6522
44	304	6470
45	309	6419
46	314	6373
47	319	6329
48	324	6294
49	330	6278
50	335	6246
51	340	6207
52	345	6170
53	350	6136
54	354	6098
55	359	6064
56	364	6029
57	369	5997
58	374	5971
59	379	5939
60	384	5920
61	392	5937
62	400	5962
63	412	6028
64	426	6137
65	432	6114
66	437	6096
67	443	6074
68	454	6132
69	463	6157
70	469	6141
71	474	6121
72	481	6108
73	487	6102
74	493	6089
75	500	6081
76	505	6065
77	513	6064
78	520	6064
79	526	6055
80	533	6056
81	541	6057
82	549	6067
83	556	6066
84	564	6077
85	573	6093
86	581	6099
87	590	6115
88	599	6136
89	611	6186
90	617	6171
91	623	6150
92	628	6132
93	637	6140
94	646	6154
95	651	6133
96	656	6115
97	662	6096
98	667	6073
99	672	6053
100	677	6034
101	683	6015
102	688	5998
103	694	5979
104	699	5958
105	704	5939
106	709	5923
107	715	5906
108	720	5888
109	725	5870
110	730	5854
111	737	5848
112	746	5860
113	754	5862
114	767	5906
115	781	5955
116	819	6184
117	845	6321
118	872	6457
119	890	6531
120	904	6570
121	955	6874
122	967	6901
123	978	6913
124	995	6970
125	1007	6985
126	1022	7028
127	1042	7099
128	1065	7195
129	1078	7217
130	1095	7266
131	1107	7283
132	1121	7312
133	1136	7342
134	1151	7376
135	1175	7465
136	1191	7508
137	1201	7502
138	1209	7490
139	1222	7507
140	1232	7508
141	1242	7506
142	1253	7513
143	1265	7524
144	1283	7565
145	1290	7547
146	1311	7608
147	1321	7607
148	1326	7577
149	1332	7550
150	1338	7524
151	1344	7503
152	1351	7484
153	1357	7456
154	1363	7430
155	1371	7420
156	1380	7411
157	1390	7410
158	1405	7436
159	1420	7458
160	1437	7490
161	1446	7482
162	1453	7464
163	1460	7446
164	1466	7422
165	1472	7396
166	1480	7382
167	1485	7356
168	1490	7330
169	1496	7304
170	1501	7280
171	1507	7255
172	1512	7229
173	1517	7205
174	1522	7179
175	1528	7155
176	1533	7130
177	1538	7106
178	1544	7083
179	1549	7060
180	1557	7047
181	1562	7023
182	1575	7033
183	1591	7056
184	1606	7079
185	1613	7063
186	1622	7054
187	1644	7104
188	1663	7138
189	1672	7129
190	1694	7176
191	1703	7170
192	1711	7157
193	1718	7138
194	1723	7116
195	1731	7102
196	1737	7082
197	1748	7082
198	1761	7089
199	1776	7105
200	1800	7157
201	1823	7202
202	1831	7188
203	1854	7235
204	1864	7230
205	1892	7293
206	1909	7315
207	1918	7305
208	1932	7315
209	1981	7454
210	1995	7462
211	2026	7532
212	2035	7522
213	2045	7512
214	2056	7507
215	2075	7534
216	2093	7553
217	2112	7577
218	2120	7562
219	2129	7549
220	2138	7538
221	2147	7525
222	2156	7512
223	2166	7503
224	2174	7489
225	2184	7482
226	2193	7469
227	2202	7457
228	2209	7438
229	2217	7422
230	2224	7405
231	2229	7381
232	2236	7362
233	2244	7347
234	2252	7331
235	2264	7330
236	2276	7327
237	2289	7328
238	2301	7328
239	2306	7304
240	2311	7280
241	2317	7257
242	2323	7239
243	2330	7220
244	2336	7200
245	2341	7177
246	2348	7158
247	2354	7138
248	2359	7115
249	2367	7101
250	2372	7080
251	2379	7063
252	2385	7041
253	2389	7018
254	2396	7000
255	2408	6999
256	2413	6977
257	2431	6994
258	2441	6984
259	2457	6993
260	2461	6970
261	2472	6964
262	2487	6969
263	2500	6970
264	2511	6965
265	2524	6966
266	2540	6974
267	2554	6976
268	2566	6975
269	2578	6970
270	2587	6960
271	2604	6970
272	2623	6986
273	2634	6980
274	2649	6984
275	2656	6967
276	2666	6959
277	2674	6946
278	2690	6953
279	2697	6935
280	2701	6912
281	2709	6898
282	2715	6881
283	2721	6860
284	2726	6841
285	2734	6826
286	2739	6806
287	2745	6786
288	2751	6768
289	2757	6750
290	2765	6737
291	2770	6718
292	2775	6697
293	2781	6678
294	2788	6663
295	2793	6644
296	2801	6632
297	2807	6613
298	2812	6593
299	2818	6577
300	2825	6561
301	2832	6545
302	2838	6529
303	2843	6510
304	2848	6491
305	2854	6472
306	2858	6453
307	2864	6435
308	2869	6417
309	2874	6399
310	2880	6381
311	2885	6363
312	2891	6345
313	2896	6328
314	2901	6310
315	2906	6291
316	2912	6274
317	2917	6256
318	2922	6239
319	2928	6222
320	2934	6206
321	2941	6193
322	2948	6180
323	2958	6172
324	2967	6162
325	2976	6153
326	2990	6155
327	2998	6144
328	3008	6135
329	3015	6122
330	3024	6112
331	3032	6101
332	3040	6089
333	3048	6078
334	3053	6061
335	3058	6044
336	3063	6027
337	3069	6010
338	3074	5994
339	3079	5978
340	3084	5961
341	3090	5945
342	3095	5929
343	3100	5913
344	3105	5896
345	3110	5879
346	3116	5863
347	3121	5848
348	3126	5832
349	3131	5816
350	3137	5800
351	3145	5789
352	3152	5778
353	3159	5765
354	3169	5758
355	3178	5750
356	3185	5737
357	3192	5725
358	3198	5710
359	3204	5696
360	3209	5680
361	3214	5665
362	3220	5651
363	3225	5635
364	3230	5620
365	3236	5606
366	3241	5591
367	3248	5579
368	3254	5565
369	3262	5554
370	3273	5549
371	3304	5579
372	3322	5585
373	3333	5579
374	3367	5611
375	3378	5606
376	3389	5601
377	3408	5608
378	3425	5612
379	3439	5612
380	3453	5610
381	3464	5604
382	3469	5588
383	3481	5585
384	3486	5569
385	3496	5561
386	3501	5546
387	3516	5546
388	3528	5542
389	3548	5550
390	3562	5548
391	3576	5546
392	3592	5548
393	3605	5545
394	3625	5552
395	3640	5553
396	3659	5558
397	3676	5561
398	3683	5547
399	3689	5534
400	3695	5520
401	3709	5518
402	3721	5513
403	3734	5509
404	3747	5504
405	3763	5506
406	3785	5515
407	3818	5540
408	3833	5539
409	3847	5536
410	3863	5537
411	3888	5549
412	3899	5542
413	3911	5536
414	3920	5526
415	3944	5537
416	3959	5536
417	3964	5520
418	3981	5520
419	4004	5530
420	4019	5527
421	4037	5529
422	4057	5534
423	4063	5520
424	4068	5504
425	4075	5492
426	4083	5479
427	4096	5475
428	4114	5475
429	4137	5483
430	4152	5482
431	4164	5476
432	4179	5473
433	4196	5472
434	4209	5467
435	4222	5461
436	4239	5461
437	4244	5445
438	4258	5442
439	4269	5433
440	4283	5430
441	4294	5421
442	4312	5422
443	4322	5412
444	4339	5412
445	4355	5409
446	4370	5406
447	4385	5403
448	4396	5395
449	4416	5398
450	4422	5383
451	4433	5374
452	4441	5362
453	4455	5357
454	4461	5343
455	4513	5385
456	4526	5377
457	4537	5369
458	4557	5371
459	4581	5377
460	4598	5376
461	4614	5373
462	4632	5372
463	4648	5369
464	4660	5362
465	4675	5357
466	4693	5357
467	4711	5356
468	4724	5349
469	4736	5340
470	4749	5333
471	4755	5319
472	4768	5312
473	4786	5311
474	4797	5302
475	4811	5296
476	4833	5299
477	4850	5297
478	4856	5282
479	4863	5268
480	4871	5256
481	4878	5242
482	4891	5236
483	4899	5223
484	4913	5217
485	4923	5207
486	4935	5199
487	4955	5199
488	4961	5184
489	4971	5174
490	4976	5158
491	4993	5156
492	5005	5147
493	5017	5139
494	5030	5132
495	5042	5123
496	5053	5114
497	5065	5106
498	5082	5102
499	5091	5091
500	5104	5083
501	5125	5084
502	5135	5073
503	5140	5058
504	5156	5053
505	5176	5053
506	5201	5058
507	5212	5047
508	5226	5041
509	5233	5028
510	5244	5018
511	5255	5009
512	5264	4997
513	5269	4982
514	5276	4969
515	5281	4954
516	5287	4939
517	5293	4925
518	5298	4910
519	5303	4895
520	5309	4881
521	5314	4866
522	5320	4852
523	5325	4837
524	5330	4822
525	5336	4809
526	5342	4794
527	5347	4780
528	5353	4766
529	5359	4752
530	5364	4738
531	5370	4724
532	5375	4709
533	5381	4696
534	5387	4682
535	5393	4669
536	5408	4662
537	5415	4650
538	5423	4638
539	5437	4632
540	5465	4637
541	5475	4626
542	5486	4617
543	5504	4613
544	5516	4605
545	5533	4601
546	5547	4594
547	5558	4585
548	5578	4582
549	5593	4576
550	5608	4570
551	5618	4559
552	5636	4555
553	5657	4554
554	5668	4545
555	5676	4532
556	5694	4528
557	5707	4520
558	5717	4510
559	5735	4506
560	5743	4494
561	5753	4483
562	5763	4473
563	5779	4467
564	5794	4460
565	5806	4452
566	5819	4444
567	5832	4436
568	5840	4424
569	5854	4416
570	5865	4407
571	5876	4396
572	5884	4385
573	5895	4375
574	5915	4372
575	5935	4368
576	5953	4364
577	5977	4363
578	5996	4360
